tweet_id,date,user_id,followers,place,lat,lng,text,source,hashtags,urls,retweet_id
590876615795548160,Wed Apr 22 13:55:37 +0000 2015,1120593368,167,"New York, USA",43.018387,-74.057632,"No matter what teacher , what class, what period.. Always an excuse not to help with there own assignment. Maybe that's why we all cheat.",Twitter for iPhone,[],[],
590876622414290944,Wed Apr 22 13:55:39 +0000 2015,378123034,500,"Manhattan, NY",40.717272,-73.986978,"what's on your mind? 
i'm not Ginuwine,
ain't tryna waste no time.",Twitter for iPhone,[],[],
590876622607245312,Wed Apr 22 13:55:39 +0000 2015,102750002,549,"Manhattan, NY",40.73561,-73.99001,Happy earth day!,Twitter for iPhone,[],[],
590876624029143040,Wed Apr 22 13:55:39 +0000 2015,22064428,30429,"Brooklyn, NY",40.629944,-73.969933,4 out of 5 distributed and promoted by #21sthapilosdigital #fixup #intoxxicated #moneymealook… https://t.co/qdCRZIXCdF,Instagram,"[{u'indices': [39, 58], u'text': u'21sthapilosdigital'}, {u'indices': [59, 65], u'text': u'fixup'}, {u'indices': [66, 79], u'text': u'intoxxicated'}, {u'indices': [80, 93], u'text': u'moneymealook'}]",['https://instagram.com/p/1x5cU4NutM/'],
590876630035357697,Wed Apr 22 13:55:41 +0000 2015,1183760234,853,"Newark, NJ",40.6925,-74.168611,Work hard to play hard. See you in a week!!! ✌️😜 #disneybound @ Newark Liberty International Airport https://t.co/d5RcBPDT6F,Instagram,"[{u'indices': [49, 61], u'text': u'disneybound'}]",['https://instagram.com/p/1x5ckWvpgc/'],
590876631167848449,Wed Apr 22 13:55:41 +0000 2015,268024939,203,"Staten Island, NY",40.594574,-74.075578,@TheTomLongo @HotFreestyle @KindaLightskin how the fuck does he do that lmfao,Twitter for iPad,[],[],
590876633805889537,Wed Apr 22 13:55:42 +0000 2015,858938353,272,"Jersey City, NJ",40.715629,-74.04259,I will keep you posted as we attempt to get the situation under control...,Twitter for iPhone,[],[],
590876644379926528,Wed Apr 22 13:55:44 +0000 2015,921470456,33,"Hackensack, NJ",40.87997,-74.05091,"You can thank millennials for HBO Now
http://t.co/jRX4NabEiN #trending #MillennialTalk #technews",Twitter for Android,"[{u'indices': [61, 70], u'text': u'trending'}, {u'indices': [71, 86], u'text': u'MillennialTalk'}, {u'indices': [87, 96], u'text': u'technews'}]",['http://www.cnet.com/news/you-can-thank-millennials-for-getting-us-hbo-now/'],
590876647076814848,Wed Apr 22 13:55:45 +0000 2015,394508624,65,"Manhattan, NY",40.707218,-74.008691,"Yes, its really downtown Manhattan. #NoFilter #spring ❤️👍🌷🌹🌺 @ Financial District, Manhattan https://t.co/WKv239XHKi",Instagram,"[{u'indices': [36, 45], u'text': u'NoFilter'}, {u'indices': [46, 53], u'text': u'spring'}]",['https://instagram.com/p/1x5dCXFO4S/'],
590876671336718336,Wed Apr 22 13:55:51 +0000 2015,344907803,423,"East Village, Manhattan",40.732125,-73.991626,"Woke up feeling kinda sicky, let's hope this passes bc it's my birthday and I'm lit",Twitter for Android,[],[],
590876673505099776,Wed Apr 22 13:55:51 +0000 2015,26091731,643,"Manhattan, NY",40.726422,-73.989313,Back to the books. #dailydrawings now off to the studio. It's a lovely day today. @ East… https://t.co/rdhAJCNlzj,Instagram,"[{u'indices': [19, 33], u'text': u'dailydrawings'}]",['https://instagram.com/p/1x5d0pyqaQ/'],
590876683881832450,Wed Apr 22 13:55:54 +0000 2015,226004652,1652,"Manhattan, NY",40.711747,-74.012071,"@TMZTVSkype Hi guys, missed you the other day. I'm available today and the rest of the week! Holla!",Twitter for iPad,[],[],
590876698662424576,Wed Apr 22 13:55:57 +0000 2015,2976818579,58,"Bronx, NY",40.871359,-73.827512,@RealJeffJarrett hi jeff I wish u were back in wwf I am a fan of you can u plz follow mw,Twitter for Android,[],[],
590876700336119808,Wed Apr 22 13:55:57 +0000 2015,28421046,258,"Brooklyn, NY",40.603428,-73.993341,@dianesavino As long as you dont smoke marijuana,Twitter for Windows Phone,[],[],
590876700659097601,Wed Apr 22 13:55:58 +0000 2015,585628756,303,"Brooklyn, NY",40.683255,-73.961013,Ready for a swim #wanderlustwednesday #fitnessandfoolishness #itsbetterinthebahamas #bahamas #travel… https://t.co/NyslRJ7EDf,Instagram,"[{u'indices': [17, 37], u'text': u'wanderlustwednesday'}, {u'indices': [38, 60], u'text': u'fitnessandfoolishness'}, {u'indices': [61, 83], u'text': u'itsbetterinthebahamas'}, {u'indices': [84, 92], u'text': u'bahamas'}, {u'indices': [93, 100], u'text': u'travel'}]",['https://instagram.com/p/1x5enQFNhO/'],
